biker_id,tour_id
BG454810,RP06570293 UX9257919 YV8434069 VV5321720 WV1140108 QW79618386
FA521271,SR11023626 QU70912780 YX2322965 QY27775201 QV67438718 QP70478164
HF001773,QX92018889 QW16470668 QP609218 RV21315686 QY02753965
IA365330,RQ8221722 UU9618821 RX06565970 SS02719635 UQ4153585 RT31677639
JG920130,QR41270051 TU0130761 QW76393554 RV28680570 RT29675854 VQ5488222
JH062150,RT98491194 SY50589515 SX49306291 RP73609284 RV8233790 RP07279414
BH6349030,TQ33637044 QQ6205891 WY1187416 SU75536012 TR24104772 RX24762134
CB8125888,WQ4391510 QS52928000 RT73561029 RT82084054 RS74825098 QY60313393
CC3726744,TP14751562 US377121 SR4581869 TP24909366 SS88406764 SU70065282
CC7195072,QS32759137 WQ9337372 RV27346430 TR00394007 QS90707377 VT3346765
CE2737714,QP61411905 RV95404171 QQ00158098 TR19250662 VP1922837 QT86375750
CJ3229720,YU5398943 RU29072432 SW35036412 XV1118590 QT71140446 YV0369551
CJ3887296,SV01196821 ST80624055 QR55629030 QQ96882187 RR79603197 RQ75450462
DF2560129,VY5330828 SR13069097 QT68625690 QV80782785 RV15982486 RV25858033
DF6982085,RT98491194 TR44463632 RP73609284 QQ51525474 QR03717384 RP07279414
EG9116393,QV93723804 ST91186803 QW44782612 UV8700686 RP42699691 SS3290432
EI3141559,QQ01073006 SQ87773396 RS03635604 SU81275802 SV01943023 RQ43656308
EJ1840802,QX01025265 XY1266900 TP72954907 QR11578449 TR80897548 RU927492
FA0590864,TP87098830 RS45395514 QR03717384 RV8233790 RQ49464820 RP07279414
FA4326263,RT71195693 RY20431298 WT5914541 SS20505228 SW90866767
FD2014578,RU29072432 YU5398943 QV00413013 VP2394192 RQ53348068 RW76927174
FE7476091,QY83407490 QY15380946 RQ83498812 RR27701444 TR17931794 QR34490218
FH2449222,QT27376534 QV95480317 RV33697384 QQ33385189
FI3119832,YU2519340 QP76364848 SX49306291 RV8233790 QR69035551 RP07279414
GA9504174,QP76364848 SW76957253 QR7757681 UQ7558243 QR69035551 QY02753965
GB1059554,QR22992905 XY7667289 RX99306830 SX12153136 QT41699239 SS29773282
GE8889363,QR05670273 WQ9337372 SV10629096 RR24313777 QT21349430 SR54991059
GF1367901,YU1253136 SR08240371 QY93452587 XX7883465 RX35968684 SQ4870193
GF4235318,RY86124911 SU01620432 QP81122807 SU57752126 RT90603461 SQ83605169
GH0504249,QV35880727 QW69873692 QT1146193 VR9780337 RT12119621 QY48173913
GI3588589,SY80859647 YW0593998 QU02284248 SS12755383 SS59524298 RS73204206
GI4722612,QT88068589 RV52552299 UU9618821 RR62994085 RR12943097 QT0337530
GI7595500,RW61684874 RS01324542 QR32655838 VR2943286 TR7450245 QQ70318717
GJ3535188,YU2519340 QY02753965 QR03717384 RQ49464820 SS09338938 RP07279414
HB3889887,RP43455253 SX07386691 WT1936389 QW76393554 QV99561506 QP95206162
HD0373215,SQ03100779 SP50850143 RQ49464820 QY02753965 QR69035551 RP07279414
IA2688704,XP4619862 RS5476646 SR06828033 SU20307709 RV70583521 WR0575893
IE4324358,QS33077999 SX31661369 RT30405430 SU77726402 QS0911918 QW38149624
IF1286067,SW70815990 RY12359758 QS82852410 QS40479010 VX8975255 SP00227659
II5331957,RY92630849 RU09477415 QV49692139 QQ62004917 YU5002198 TR15173213
JB7166122,TR09606131 SY71284129 TP89322861 QY65364019 QY82116608 SW85806105
JC5496510,TR32519602 QQ16367368 WY9782433 QU97380017 RT28145712 XR3015621
JD8766697,YU5398943 RU29072432 XV1118590 QV00413013 SY85899647 RW14222740
JH5501999,TQ25420656 TR03627753 VW9700922 VW5888033 RT28145712 XY9234866
JJ5064362,SS31390995 QS34367841 RT76622244 QU63973355 VU6688286 TQ25754193
JJ9268198,SV4572656 RW94260340 WQ1904904 RT15873572 VY1970985 QP64885201
BA13594520,YU5398943 YW217712 QS70244570 SU54433899 QY26015481 SQ83605169
BA22813953,RR86155514 RS54857659 RP35908534 QU75588609
BA34249941,WV9820406 RT60957668 SP50850143 QQ40866581 QV7252762 QY64407998
BA60099431,QX53435067 SW12070556 TP80944038 SS09338938 QR69035551 RP07279414
BA72640827,RV93999668 QV28506913 TP61182012 XV549210 QY91249255 RT61534851
BA73188652,RU29072432 QU6790944 QS29734614 SR32053960 SQ98275968 QP66708183
